image_url,estimate_id,province,city_name,driver_platform,activity_type,activity_breakdown,activity_zone_image_urls,activity_detail_image_urls,driver_category,submit_time,submit_timestamp_ms,event_time,is_recognized,activity_name_result,activity_city_result,activity_fence,discount_rules,validity_period_start_time,validity_period_end_time,applicable_time_period,order_timeliness_type,order_categories,dis_range,purchase_start_time,purchase_end_time,reduce_after_price,est_price
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6ce1f32cf46988/%7B508F8B65-CD42-45A7-8D2A-91F3F709B17A%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/4ba7b816e3ebd4/%7BEE44A723-A7AE-42CB-870A-AE7F4E590180%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/c7f86bd7b5394/%7B6B04BFB5-A2A0-43ED-8F5D-95B670354634%7D.png?x-s3-process=image/resize,697c5249c343b804a672c552,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/c7422215c2be5/%7B7F2D5597-C7FD-4500-ABE0-30871D73B07B%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6ce1f32cf46988/%7B508F8B65-CD42-45A7-8D2A-91F3F709B17A%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/4ba7b816e3ebd4/%7BEE44A723-A7AE-42CB-870A-AE7F4E590180%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/c7f86bd7b5394/%7B6B04BFB5-A2A0-43ED-8F5D-95B670354634%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:40:08,1769755208956,1769755208,True,30天免佣卡,北京市,"[""延庆区"",""密云区"",""平谷区"",""怀柔区"",""大兴区"",""昌平区"",""顺义区"",""通州区"",""房山区"",""门头沟区"",""兴区""]","{""name"":""30天免佣单数无上限"",""detail"":{}}",01-23 21:00:00,01-30 23:44:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单""]","[""特惠单"",""市内拼车单"",""经济型单"",""优享型单"",""专车型单"",""商务型单"",""豪华型单"",""特快车单""]",,01-23 21:00:00,01-30 23:44:59,,1399
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/13a41bb4bae1b5/%7B833BEC69-595A-4624-9CCE-EF83FEEFC7D0%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/75c9b3ad5cf588/%7B6B1F8072-3A5D-4435-A1E6-6B62327ADCB6%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/7f889b699c3a3/%7BEBF39D00-989B-42B7-9207-081AA3CD871A%7D.png?x-s3-process=image/resize,697c4d39ee6a7204befb9f3d,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/132edf76112ee6/%7B2E68ED09-BE8C-4DDC-A7A5-507C7C87DE6C%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/13a41bb4bae1b5/%7B833BEC69-595A-4624-9CCE-EF83FEEFC7D0%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/75c9b3ad5cf588/%7B6B1F8072-3A5D-4435-A1E6-6B62327ADCB6%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/7f889b699c3a3/%7BEBF39D00-989B-42B7-9207-081AA3CD871A%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:18:33,1769753913633,1769753913,True,14天免佣卡,北京市,,"{""name"":""14天免佣单数无上限"",""detail"":{}}",01-20 21:59:00,01-27 23:44:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单""]","[""特惠单""]",,01-20 21:59:00,01-27 23:44:59,,758
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/2eab7c983edcbe/%7BD3F72D51-E3F1-4B51-93EA-07316314D6CE%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/b6727ad0eb39/%7B15F61C49-A11F-4E54-B09E-9A9486DB6BB2%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/d3308130775208/%7B7C62BAE6-CB3C-40A9-B56B-73A44F87F47C%7D.png?x-s3-process=image/resize,697c4e437efe0e04a1c98680,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/13b5728c3699fd/%7BC71CC8EF-8DC8-4711-BD03-D48C430F6486%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/2eab7c983edcbe/%7BD3F72D51-E3F1-4B51-93EA-07316314D6CE%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/b6727ad0eb39/%7B15F61C49-A11F-4E54-B09E-9A9486DB6BB2%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/d3308130775208/%7B7C62BAE6-CB3C-40A9-B56B-73A44F87F47C%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:22:59,1769754179715,1769754179,True,30天免佣卡,北京市,,"{""name"":""30天免佣单数无上限"",""detail"":{}}",01-20 21:59:00,01-27 23:44:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单""]","[""特惠单""]",,01-20 21:59:00,01-27 23:44:59,,1399
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/18c7e34da3f679/%7BE05F7B49-CCCB-43A1-98FF-C28872C4F03B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/a63165fe546c2/%7B23CBC2A8-B16A-4ACD-99B9-8CE08A637710%7D.png?x-s3-process=image/resize,697c7713fcae630491bc8bc6,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPc+FdgO3jhJG8xjS6RZ15RhnkS79KxHDIsnKM4WgXS/qFt9VDnd9HDyTsU2P0ijxg==,,妥妥E行轻快,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/7cf359b1c31164/%7B31F765D1-308C-4C91-9E65-B38EF80E8E14%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/18c7e34da3f679/%7BE05F7B49-CCCB-43A1-98FF-C28872C4F03B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/a63165fe546c2/%7B23CBC2A8-B16A-4ACD-99B9-8CE08A637710%7D.png?x-s3-process=image/resize,极速版,2026-01-30 17:17:07,1769764627513,1769764627,True,14天免佣卡,郑州市,,"{""name"":""享单单免佣"",""detail"":{}}",01-19 12:31:49,02-02 12:31:49,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单"",""市内拼车单""]","[""市内拼车单""]",,,,,701.51
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/f180f8da1c8d68/%7B0E90F253-271B-4FC0-A82B-B5EA730C744B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/7262a23b96a3bc/%7B47264754-3891-4E80-A264-585CC5261535%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6084751e8d6b74/%7BC6A92A20-F40A-43D7-8144-A6679F456DE1%7D.png?x-s3-process=image/resize,697c50cf9e15bb0489863a4f,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,7日免佣卡,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6bda0599b7718c/%7BA91D42D1-0C3C-4D5C-A6F5-45FD42734122%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/f180f8da1c8d68/%7B0E90F253-271B-4FC0-A82B-B5EA730C744B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/7262a23b96a3bc/%7B47264754-3891-4E80-A264-585CC5261535%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6084751e8d6b74/%7BC6A92A20-F40A-43D7-8144-A6679F456DE1%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:33:51,1769754831272,1769754831,True,7天免佣卡,北京市,,"{""name"":""7天免佣单数无上限"",""detail"":{}}",01-23 20:51:00,01-30 23:44:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单""]","[""市内拼车单"",""经济型单"",""优享型单"",""专车型单"",""商务型单"",""豪华型单"",""特惠单"",""特快车单""]",,01-23 20:51:00,01-30 23:44:59,,745
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/3c023972a4c908/%7B84879011-5A6A-4450-934C-6C88B5774A9F%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/125cb382059516/%7B3966D4F2-B4F0-4C65-A2DF-D623348768D5%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/56e60d91d431e8/%7B5ECBF92F-4853-4723-B715-338BA7559B13%7D.png?x-s3-process=image/resize,697c340aee6a7204befb9973,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/d7b04644795c78/%7B59A8C490-BAF7-4E59-A9FF-3B1D04AEB1FB%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/3c023972a4c908/%7B84879011-5A6A-4450-934C-6C88B5774A9F%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/125cb382059516/%7B3966D4F2-B4F0-4C65-A2DF-D623348768D5%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/56e60d91d431e8/%7B5ECBF92F-4853-4723-B715-338BA7559B13%7D.png?x-s3-process=image/resize,普通版,2026-01-30 12:31:06,1769747466683,1769747466,True,时段免佣卡,北京市,"[""北京市""]","{""name"":""免佣单数无上限，免佣金额无上限"",""detail"":{}}",01-26 00:00:00,01-26 23:59:59,"{""每日"":[""12:00:00 - 17:00:00"",""12:00:00 - 17:00:59""]}","[""实时单""]","[""市内拼车单"",""经济型单"",""优享型单"",""专车型单"",""商务型单"",""豪华型单"",""特惠单"",""特快车单""]",,01-23 19:00:00,01-26 16:44:59,,59
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/109d441976719f/%7B6B62CD81-81D4-4980-8164-BA00661CE802%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/137f7fd8fd27e1/%7B43D30C0F-2F69-42CA-8D08-BD30CE94F13B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/1ce3b6736f488b/%7BB9935373-E263-4C91-919E-8B4BC702D190%7D.png?x-s3-process=image/resize,697c6ea9f11e3704bae66868,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMFe9kn4ubvICoM12ZKaRv1CWX2AZNy4SnB7p8O/UCh+4ifwPaWvC7NWjT7Uim69Jag==,,及时用车轻快,免佣卡,���他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/68c68e8c1d8a1c/%7B2D495564-3063-4F41-882C-F7455FABD078%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/109d441976719f/%7B6B62CD81-81D4-4980-8164-BA00661CE802%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/137f7fd8fd27e1/%7B43D30C0F-2F69-42CA-8D08-BD30CE94F13B%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/1ce3b6736f488b/%7BB9935373-E263-4C91-919E-8B4BC702D190%7D.png?x-s3-process=image/resize,极速版,2026-01-30 16:41:13,1769762473497,1769762473,True,轻快司机专享免佣卡,成都市,,"{""name"":""享单单免佣"",""detail"":{}}",01-26 00:00:00,01-26 23:59:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单"",""市内拼车单""]","[""市内拼车单""]",,09-29 00:00:00,09-29 23:59:59,,
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/11b235c1b285d/%7BC41EA2AA-7388-490C-B53C-D4B45948E4F5%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/c3505b12f7223/%7B242D2B21-59F4-4E9B-98A5-A31C997C4A6A%7D.png?x-s3-process=image/resize,697c6fde0c41cb04ac9d1500,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMFe9kn4ubvICoM12ZKaRv1CWX2AZNy4SnB7p8O/UCh+4ifwPaWvC7NWjT7Uim69Jag==,,及时用车轻快,免佣���,工作日早高峰免佣卡,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/11bd82d626ab7e/%7B0DC53701-77E8-4C2A-8D30-A6A2D0414374%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/11b235c1b285d/%7BC41EA2AA-7388-490C-B53C-D4B45948E4F5%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/c3505b12f7223/%7B242D2B21-59F4-4E9B-98A5-A31C997C4A6A%7D.png?x-s3-process=image/resize,极速版,2026-01-30 16:46:22,1769762782174,1769762782,True,工作日早高峰免佣,成都市,,"{""name"":""享单单免佣"",""detail"":{}}",01-26 02:11:44,02-01 23:59:59,"{""工作日"":[""07:00:00 - 09:00:00""]}","[""实时单"",""市内拼车单""]","[""市内拼车单""]",,,,,
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/15f387fc382c16/%7B589225E5-9A2B-4589-B186-BA69A5A4C85C%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6b62c8041ba064/%7B94BBFB3E-B07A-42C1-ACB5-5CD63499720C%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/1002b9b7dbfb23/%7BE21F7BF8-8409-4E95-978A-CADE4074CDD4%7D.png?x-s3-process=image/resize,697c4b1a8f9b4c0cbc9cd359,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/103bbc5109048a/%7BBEE7490C-9F1B-4910-BF05-859A53529604%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/15f387fc382c16/%7B589225E5-9A2B-4589-B186-BA69A5A4C85C%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6b62c8041ba064/%7B94BBFB3E-B07A-42C1-ACB5-5CD63499720C%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/1002b9b7dbfb23/%7BE21F7BF8-8409-4E95-978A-CADE4074CDD4%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:09:29,1769753369867,1769753369,True,时段免佣卡,北京市,,"{""name"":""免佣单数无上限"",""detail"":{}}",01-26 00:00:00,01-26 23:59:59,"{""每日"":[""00:00:00 - 00:00:00"",""19:00:00 - 23:00:59"",""00:00:00 - 23:59:59""]}","[""实时单""]","[""市内拼车单"",""经济型单"",""优享型单"",""专车型单"",""商务型单"",""豪华型单"",""特惠单"",""特快车单""]",,01-23 20:00:00,01-26 22:44:59,,21.9
https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6a66e05573fdd/%7B3334C043-3755-465D-8516-8C4AA94D0ED6%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/78fa94f92b0668/%7B5F8D9800-D62D-4C65-BF09-511DF2368E11%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/8331888a38499/%7BBCF708CD-1D77-4141-88E6-A919A60A82BF%7D.png?x-s3-process=image/resize,697c4f174dc5d404a8de7677,ur4AAAAlNTM0NTQzNTI0NTU0LTY3N2EzMDMxLTY1ODVjYzUzOTFlMDAwMAAAABBmZjI0OTU0OTI5OGM5NTY4AAAAMPHDkKtysmH5SZfeGdTVKbSe8smBjhQS4DU2AIMjGnZfg8xqaQLmRWGbODJE+dIvNw==,,飞嘀打车,免佣卡,其他,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/564501d45725f8/%7B136F8A47-D15F-4D7A-912E-121D351508F7%7D.png?x-s3-process=image/resize,https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/6a66e05573fdd/%7B3334C043-3755-465D-8516-8C4AA94D0ED6%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/78fa94f92b0668/%7B5F8D9800-D62D-4C65-BF09-511DF2368E11%7D.png?x-s3-process=image/resize || https://s3-gzpu-inter.didistatic.com/xiaojuwenjuan/respondent/imgUpload/ddpage_0OxoouhO/8331888a38499/%7BBCF708CD-1D77-4141-88E6-A919A60A82BF%7D.png?x-s3-process=image/resize,普通版,2026-01-30 14:26:31,1769754391677,1769754391,True,7天免佣卡,北京市,"[""密云区"",""平谷区"",""怀柔区"",""大兴区"",""昌平区"",""顺义区"",""通州区"",""房山区"",""门头沟区"",""延庆区""]","{""name"":""7天免佣单数无上限，免佣金额无上限"",""detail"":{}}",01-23 21:00:00,01-30 23:44:59,"{""每日"":[""00:00:00 - 23:59:59""]}","[""实时单""]","[""特惠单"",""市内拼车单"",""经济型单"",""优享型单"",""专车型单"",""商务型单"",""豪华型单"",""特快车单""]",,01-23 21:00:00,01-30 23:44:59,,405
