dict_lpc_test_online WL_LPC_106
dict_auto_hive2ddict_passenger_anycar_xiandao_check_finish_7d_30d PASSENGER_CHECK_30_2969481978336
dict_auto_hive2ddict_dache_anycar_accept_model_send_car_features PASSENGER_ID_151
dict_auto_hive2ddict_passenger_rec_model_fe PASSENGER_ID_1217
dict_auto_hive2ddict_dape_driver_driver_base_info_today FEATURE_DRIVER_225
dict_order_level_v8_passenger_last_res PASSENGER_3779
dict_driver_level_v8_last_res DRIVER_LEVEL_V8_580544733777933
dict_auto_hive2ddict_tehui_order_grid_feature GRID_OL13F1i6033j3160_20
dict_auto_hive2ddict_realtime_part4 realtime_offline_part4_580543420227405_141
dict_auto_hive2ddict_oneprice_afirst_offline_features_1 city_id_1
dict_auto_hive2ddict_oneprice_afirst_offline_features_2 city_id_77
dict_auto_hive2ddict_oneprice_afirst_offline_features_3 fgrid_tgrid_OL13F1i6454j2885_OL13F1i6763j2507
dict_auto_hive2ddict_oneprice_afirst_offline_features_4_new_1 tgrid_distance_id_1km_OL13F1i6875j2145_30
dict_auto_hive2ddict_oneprice_afirst_offline_features_4_new_2 fgrid_day_of_week_minute_id_10m_OL13F1i4351j2845_3_750
dict_auto_hive2ddict_oneprice_afirst_offline_features_re_2 city_id_45
dict_auto_hive2ddict_oneprice_afirst_offline_features_re_3 fgrid_hour_id_1h_OL13F1i6782j2351_10
dict_auto_hive2ddict_oneprice_afirst_offline_features_re_4 fgrid_distance_id_1km_OL13F1i5427j2260_30
dict_auto_hive2ddict_odt_pricing ODT_PRICING_OL13F0i1013j5977_OL13F0i1024j5968_22
dict_auto_hive2ddict_aplus_strive_order_nums_60d DRIVER_ID_565975753366580
dict_drunk_v3_grid DRUNK_GRID_OL13F1i5930j2843
dict_auto_hive2ddict_dache_anycar_send_product_num PASSENGER_ID_1032
dict_auto_hive2ddict_carpool_odt_feature odt_18_1475_5327_18_1476_5327_40
dict_auto_hive2ddict_dape_driver_driver_city_history_info FEATURE_DRIVER_CITY_562950054262737_1
dict_auto_hive2ddict_passenger_feature_persona_100order PERSONAS_1908
dict_auto_hive2ddict_score_cancel CANCEL_SCORE_312
dict_auto_hive2ddict_dispatch_bc_balance_subsidy_info DISPATCH_BC_BALANCE_SUBSIDY_INFO_2021-10-21_140
dict_auto_hive2ddict_passenger_feature_persona_100order_Norm PERSONAS_2263
dict_auto_hive2ddict_carpool_multi_freq_dispatch_v2_time_info dispatch_time_points_OL11F1i1613j720_0_72
dict_auto_hive2ddict_ecr_passenger_features ecr_passenger_info_497
dict_auto_hive2ddict_th_realtime_cost_model STAT_DRIVER_CITY_562950054190773
dict_auto_hive2ddict_historial_cumulative_grid_features1 GRID_ID_OL13F1i6552j2714_80
dict_auto_hive2ddict_historial_cumulative_grid_features2 GRID_ID_OL13F0i878j5778_221
dict_auto_hive2ddict_bconeprice_model BCOnePrice_OL13F1i6984j1753_OL13F1i6965j1770_25
dict_auto_hive2ddict_carpool_route_index ROUTEID13_231_OL13F1i5854j2597_OL13F1i5848j2604
dict_realtime_order_rush_feature_offline_part1 realtime_offline_part1_565132792764534_123
dict_realtime_order_rush_feature_offline_part2 realtime_offline_part2_565366569764256_90
dict_realtime_order_rush_feature_offline_part3 realtime_offline_part3_580542308178054_41
dict_auto_hive2ddict_grid_history_demand_supply_data GRID_HISTORY_STATICS_DEMAND_DATA_1_fankuai_0_122_OL13F1i5055j2492
dict_auto_hive2ddict_zza_anycar_response_rate_model_v1 ANSWER_RATE_ORDER_35276569006368
dict_auto_hive2ddict_anycar_cdt_offline_features county_id_120102
dict_auto_hive2ddict_causalnet_online_serving input_causalnet_17592392118488
dict_auto_hive2ddict_dm_sunrise_feature_city_tph_stats STAT_CITY_148
dict_auto_hive2ddict_dape_driver_driver_city_history_info_1 FEATURE_DRIVER_CITY_580547428918863_248
dict_auto_hive2ddict_v9_grid_feature_all start_grid_OL13F0i1005j5967
dict_auto_hive2ddict_v9_pasid_behavior_agg_feature pas_17594015433007
dict_auto_hive2ddict_serial_cancel_model_passenger_feature WL_PASSENGER_17592353746005
dict_auto_hive2ddict_serial_cancel_model_driver_feature WL_DRIVER_580544731806917
dict_auto_hive2ddict_serial_cancel_model_grid_week_time15_feature WL_GRID_WEEK_TIME15_OL13F0i1012j5978-3-92
dict_auto_hive2ddict_serial_cancel_model_grid_hour_feature WL_GRID_HOUR_OL13F0i1000j6406-19
dict_auto_hive2ddict_passenger_embedding WL_PAS_EBD_17595622281931
dict_auto_hive2ddict_grid_hour_embedding WL_GRID_HOUR_EBD_15OL13F1i6435j2809
dict_auto_hive2ddict_city_acceptrate_offline_data CITY_ID_15
dict_auto_hive2ddict_smart_package_offline_train_data_passenger_feature smart_package_1581
dict_auto_hive2ddict_dape_driver_base_d STAT_DRIVER_580542514133285
dict_auto_hive2ddict_dape_driver_daily_feature_statistics_prime_d STAT_DRIVER_CITY_FENCE_562950053806458_1_-1
dict_auto_hive2ddict_dape_driver_daily_feature_statistics_fast_d STAT_DRIVER_CITY_FENCE_580542499095640_38_-1
dict_auto_hive2ddict_taxi_statfeatures BJ_TAXI_1_110107_2
dict_auto_hive2ddict_price_odt_offline_features fgrid_OL13F1i5048j2527
dict_auto_hive2ddict_v9_time_poi_feature_sz tp_addr_afternoon_1983小酒馆
dict_auto_hive2ddict_serial_cancel_model_passenger_feature_180 WL_PASSENGER180_17592273897526
dict_auto_hive2ddict_serial_cancel_model_driver_feature_180 WL_DRIVER180_580547318298550
dict_auto_hive2ddict_serial_cancel_model_grid_week_time15_feature_180 WL_GRID_WEEK_TIME15_180_OL13F1i4899j2980-7-79
dict_hive2ddict_taxi_county_last14days_statfeature TAXI_LONG_4_310101_0
dict_auto_hive2ddict_skyfall_task_offline_feature Skyfall_Task_Feat_17595583845485
dict_auto_hive2ddict_v9_weichengnian_agg pas_3509536364766
dict_auto_hive2ddict_v9_passenger_emb_matapath_1 pas_35184501557521
dict_auto_hive2ddict_v9_passenger_emb_matapath_2 pas_5000136733972
dict_auto_hive2ddict_v9_passenger_emb_matapath_3 pas_3519937317865
dict_auto_hive2ddict_v9_pasid_daijiao_feature pas_17594616657860
dict_auto_hive2ddict_inter_city_inventory_predict_driver_count WL_INVENTORY_1804
dict_auto_hive2ddict_hotzone_region_exp_feature FENCE_HIST_FEATURE_319_7_7
dict_auto_hive2ddict_carpool_route_badcase_history ROUTE_OL13F1i4502j2966_OL13F1i4503j2965
dict_auto_hive2ddict_sdi_demand_online_model_feature_region_30min SDP_v1_227_32_227
