dict,key
"dict_auto_hive2ddict_pid_profile_feat","pid_profile_feat_9319962"
"dict_auto_hive2ddict_general_profile_feat_v2","general_profile_feature_70368789273026"
"dict_auto_hive2ddict_all_cancel_rate_after","CANCEL_PASSENGER_ID_17593218636272"
"dict_auto_hive2ddict_passenger_feature_persona_100order_Norm","PERSONAS_4243"
"dict_auto_hive2ddict_wyc_pid_profile_feature","PID_PROFILE_FEAT_17797890"
"dict_auto_hive2ddict_zy_new_rule_bubble_pot","26_zy_new_rule_pot_126556848_OL13F1i5552j2955_9"
"dict_auto_hive2ddict_pasCallCombSeq90d60V1","PASSENGER_17593513565477"
"dict_auto_hive2ddict_ot_bubble_seq_to_array","ot_bubble_seq_OL13F0i1000j5968_19"
"dict_auto_hive2ddict_general_profile_feature","WYC_USR_4832"
"dict_auto_hive2ddict_btls_dri_click_seq_v1","btls_online_35184424902952"
"dict_auto_hive2ddict_pas_acc100","p_1434"
"dict_auto_hive2ddict_copersonar_env_exists","copersonar_env_exists_2445"
"dict_auto_hive2ddict_r100_v1","PASSENGER_2701"
"dict_auto_hive2ddict_whs_pasid_extend_info","passenger_id_17597791418163"
"dict_auto_hive2ddict_price_odt_features_part8","fgrid_tgrid_hour_id_OL13F1i4126j2777_OL13F1i4123j2776_13"
"dict_auto_hive2ddict_taxi_prict_odt_features","taxi_fgird_tgrid_OL13F1i5594j2005_OL13F1i5591j2006_17"
"dict_auto_hive2ddict_default_selected_car","BUBBLE_USR_1443"
"dict_auto_hive2ddict_passenger_cancel_history","passenger_cancel_101253295"
"dict_auto_hive2ddict_send_finish_behavior_new","PASSENGER_6601"
"dict_auto_hive2ddict_pas_behavior_v2_subset","allmatchpk_p_sub_1687"
"dict_auto_hive2ddict_loss_feature_v2","LOSS2_9063"
"dict_auto_hive2ddict_sfc_pas_profile_fea_pid","p_profile_299072426112805"
"dict_auto_hive2ddict_cba_pas_behavior_feats","pas_17592203778469"
"dict_auto_hive2ddict_usr_select_call","CALL_USR_114327"
"dict_auto_hive2ddict_whs_pas_extend_info","passenger_phone_00001fb752531a36fd62349d4adcf5fd"
